states,x,y
Jammu & Kashmir,-134.0,293.0
Himachal Pradesh,-111.0,237.0
Punjab,-146.0,212.0
Haryana,-122.0,170.0
Uttarakhand,-65.0,197.0
Rajasthan,-177.0,123.0
Gujarat,-230.0,30.0
Uttar Pradesh,-37.0,133.0
Madhya Pradesh,-100.0,32.0
Bihar,77.0,94.0
Jharkhand,56.0,53.0
West Bengal,113.0,42.0
Sikkim,117.0,140.0
Assam,161.0,115.0
Arunachal Pradesh,225.0,161.0
Nagaland,243.0,116.0
Manipal,233.0,83.0
Mizoram,213.0,39.0
Tripura,189.0,54.0
Meghalaya,168.0,95.0
Odisha,38.0,-22.0
Chhattisgarh,1.0,25.0
Telangana,-75.0,-82.0
Maharashtra,-166.0,-34.0
Karnataka,-146.0,-127.0
Andhra Pradesh,-75.0,-141.0
Tamil Nadu,-79.0,-224.0
Kerala,-129.0,-240.0